Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
1,GPT 3.5 Turbo,Whisper,0.44041450777202074,0.4228855721393035,0.4594594594594595,0.14583333333333334,0.14,0.15217391304347827,0.26943005181347157,0.25870646766169153,0.2810810810810811,0.1858346164226532,0.1494336873292923,0.16892054677009583,217,177
1,GPT 3.5 Turbo,Speechmatics,0.367601246105919,0.4338235294117647,0.31891891891891894,0.10658307210031347,0.1259259259259259,0.09239130434782608,0.24922118380062305,0.29411764705882354,0.21621621621621623,0.16948150098323822,0.04863462224602699,0.10977969318628311,146,177
1,GPT 3.5 Turbo,Google,0.5111111111111112,0.5257142857142857,0.4972972972972973,0.19553072625698326,0.20114942528735633,0.19021739130434784,0.32222222222222224,0.3314285714285714,0.31351351351351353,0.2166125476360321,0.16540858149528503,0.1921960413455963,183,177
1,GPT 3.5 Turbo,Kaldi_NL,0.4250681198910082,0.42857142857142855,0.42162162162162165,0.13150684931506848,0.13259668508287292,0.13043478260869565,0.28337874659400547,0.2857142857142857,0.2810810810810811,0.15867270529270172,0.13037891685962677,0.14587566256523132,195,177
1,Gemini 1.5 pro,Whisper,0.3900928792569659,0.45652173913043476,0.34054054054054056,0.1370716510903427,0.16058394160583941,0.11956521739130435,0.24148606811145512,0.2826086956521739,0.21081081081081082,0.12393596768379211,0.1027480810880661,0.11475998163223267,145,177
1,Gemini 1.5 pro,Speechmatics,0.36419753086419754,0.4244604316546763,0.31891891891891894,0.12422360248447203,0.14492753623188406,0.10869565217391304,0.24691358024691357,0.28776978417266186,0.21621621621621623,0.1044146791100502,0.07770581543445587,0.09250088781118393,146,177
1,Gemini 1.5 pro,Google,0.338368580060423,0.3835616438356164,0.3027027027027027,0.1033434650455927,0.11724137931034483,0.09239130434782608,0.24169184290030213,0.273972602739726,0.21621621621621623,0.08549123257398605,0.07191286981105804,0.08018895238637924,154,177
1,Gemini 1.5 pro,Kaldi_NL,0.38509316770186336,0.45255474452554745,0.33513513513513515,0.1375,0.16176470588235295,0.11956521739130435,0.24844720496894412,0.291970802919708,0.21621621621621623,0.14053669571876526,0.11511322855949402,0.1292092502117157,143,177
2,GPT 3.5 Turbo,Whisper,0.4390243902439025,0.4186046511627907,0.46153846153846156,0.1475409836065574,0.140625,0.15517241379310345,0.2764227642276423,0.26356589147286824,0.2905982905982906,0.21665358543395996,0.13690900802612305,0.17780645191669464,136,113
2,GPT 3.5 Turbo,Speechmatics,0.4,0.3392857142857143,0.48717948717948717,0.11307420494699646,0.09580838323353294,0.13793103448275862,0.21754385964912282,0.18452380952380953,0.26495726495726496,0.1384025365114212,0.15467694401741028,0.14791341125965118,168,113
2,GPT 3.5 Turbo,Google,0.4219409282700422,0.4166666666666667,0.42735042735042733,0.15319148936170213,0.15126050420168066,0.15517241379310345,0.23628691983122363,0.23333333333333334,0.23931623931623933,0.17197473347187042,0.11168139427900314,0.14304225146770477,125,113
2,GPT 3.5 Turbo,Kaldi_NL,0.3938223938223938,0.3591549295774648,0.4358974358974359,0.10116731517509728,0.09219858156028368,0.11206896551724138,0.2162162162162162,0.19718309859154928,0.23931623931623933,0.1632615327835083,0.05970938131213188,0.11239627003669739,142,113
2,Gemini 1.5 pro,Whisper,0.40689655172413797,0.34104046242774566,0.5042735042735043,0.11805555555555555,0.09883720930232558,0.14655172413793102,0.22758620689655173,0.1907514450867052,0.28205128205128205,0.16000668704509735,0.15117542445659637,0.1569589525461197,171,113
2,Gemini 1.5 pro,Speechmatics,0.4080267558528428,0.33516483516483514,0.5213675213675214,0.1414141414141414,0.11602209944751381,0.1810344827586207,0.2274247491638796,0.18681318681318682,0.2905982905982906,0.14954067766666412,0.14189298450946808,0.14710184931755066,177,113
2,Gemini 1.5 pro,Google,0.4,0.3392857142857143,0.48717948717948717,0.11307420494699646,0.09580838323353294,0.13793103448275862,0.2385964912280702,0.20238095238095238,0.2905982905982906,0.12933452427387238,0.1421625316143036,0.13714514672756195,169,113
2,Gemini 1.5 pro,Kaldi_NL,0.4153846153846154,0.3776223776223776,0.46153846153846156,0.15503875968992248,0.14084507042253522,0.1724137931034483,0.23846153846153845,0.21678321678321677,0.26495726495726496,0.15674477815628052,0.1334977000951767,0.14648310840129852,141,113
3,GPT 3.5 Turbo,Whisper,0.4232365145228215,0.3893129770992366,0.4636363636363636,0.1506276150627615,0.13846153846153847,0.1651376146788991,0.2821576763485477,0.2595419847328244,0.3090909090909091,0.12549033761024475,0.171980082988739,0.15001295506954193,141,106
3,GPT 3.5 Turbo,Speechmatics,0.411764705882353,0.3828125,0.44545454545454544,0.1271186440677966,0.11811023622047244,0.13761467889908258,0.2773109243697479,0.2578125,0.3,0.15467888116836548,0.1283835470676422,0.1428918093442917,135,106
3,GPT 3.5 Turbo,Google,0.41897233201581024,0.3706293706293706,0.4818181818181818,0.16733067729083667,0.14788732394366197,0.1926605504587156,0.27667984189723327,0.24475524475524477,0.3181818181818182,0.16445261240005493,0.19670116901397705,0.18185828626155853,152,106
3,GPT 3.5 Turbo,Kaldi_NL,0.3781818181818181,0.3151515151515151,0.4727272727272727,0.15384615384615385,0.12804878048780488,0.1926605504587156,0.24727272727272728,0.20606060606060606,0.3090909090909091,0.11863715946674347,0.1605176329612732,0.140890434384346,176,106
3,Gemini 1.5 pro,Whisper,0.3897058823529412,0.3271604938271605,0.4818181818181818,0.14814814814814814,0.12422360248447205,0.1834862385321101,0.24999999999999994,0.20987654320987653,0.3090909090909091,0.12068324536085129,0.19610868394374847,0.15948617458343506,167,106
3,Gemini 1.5 pro,Speechmatics,0.423076923076923,0.36666666666666664,0.5,0.1472868217054264,0.12751677852348994,0.1743119266055046,0.26153846153846155,0.22666666666666666,0.3090909090909091,0.10886095464229584,0.18558715283870697,0.14832201600074768,160,106
3,Gemini 1.5 pro,Google,0.3851851851851852,0.325,0.4727272727272727,0.13432835820895522,0.11320754716981132,0.1651376146788991,0.2518518518518518,0.2125,0.3090909090909091,0.09938543289899826,0.16146455705165863,0.13164924085140228,165,106
3,Gemini 1.5 pro,Kaldi_NL,0.4508196721311476,0.41044776119402987,0.5,0.1652892561983471,0.15037593984962405,0.1834862385321101,0.2622950819672131,0.23880597014925373,0.2909090909090909,0.10887474566698074,0.15224473178386688,0.13188056647777557,143,106
4,GPT 3.5 Turbo,Whisper,0.33587786259541985,0.2875816993464052,0.4036697247706422,0.06153846153846154,0.05263157894736842,0.07407407407407407,0.22900763358778628,0.19607843137254902,0.27522935779816515,0.08068307489156723,0.11132979393005371,0.09742961823940277,166,102
4,GPT 3.5 Turbo,Speechmatics,0.36885245901639346,0.3333333333333333,0.41284403669724773,0.08264462809917354,0.07462686567164178,0.09259259259259259,0.2459016393442623,0.2222222222222222,0.27522935779816515,0.13552019000053406,0.16239945590496063,0.15030749142169952,143,102
4,GPT 3.5 Turbo,Google,0.33215547703180215,0.27011494252873564,0.43119266055045874,0.06405693950177935,0.05202312138728324,0.08333333333333333,0.2332155477031802,0.1896551724137931,0.30275229357798167,0.06186044216156006,0.1213352382183075,0.09289925545454025,188,102
4,GPT 3.5 Turbo,Kaldi_NL,0.3259259259259259,0.2732919254658385,0.4036697247706422,0.07462686567164178,0.0625,0.09259259259259259,0.22962962962962966,0.19254658385093168,0.28440366972477066,0.09790711104869843,0.14351870119571686,0.12203970551490784,173,102
4,Gemini 1.5 pro,Whisper,0.36477987421383645,0.27751196172248804,0.5321100917431193,0.07594936708860758,0.057692307692307696,0.1111111111111111,0.22012578616352202,0.1674641148325359,0.3211009174311927,0.035880763083696365,0.15847134590148926,0.09790002554655075,214,102
4,Gemini 1.5 pro,Speechmatics,0.3831417624521073,0.32894736842105265,0.45871559633027525,0.06949806949806948,0.059602649006622516,0.08333333333333333,0.24521072796934865,0.21052631578947367,0.29357798165137616,0.07368309050798416,0.13205839693546295,0.10416088253259659,164,102
4,Gemini 1.5 pro,Google,0.450592885375494,0.3958333333333333,0.5229357798165137,0.12749003984063745,0.11188811188811189,0.14814814814814814,0.2845849802371542,0.25,0.3302752293577982,0.041932348161935806,0.1842716485261917,0.11354474723339081,157,102
4,Gemini 1.5 pro,Kaldi_NL,0.3940520446096654,0.33125,0.48623853211009177,0.09737827715355805,0.08176100628930817,0.12037037037037036,0.24535315985130113,0.20625,0.30275229357798167,0.09540717303752899,0.15362460911273956,0.12577228248119354,167,102
5,GPT 3.5 Turbo,Whisper,0.3333333333333333,0.24867724867724866,0.5053763440860215,0.09285714285714286,0.06914893617021277,0.14130434782608695,0.2482269503546099,0.18518518518518517,0.3763440860215054,0.0039053892251104116,0.1455434262752533,0.07523161917924881,204,92
5,GPT 3.5 Turbo,Speechmatics,0.32452830188679244,0.25,0.46236559139784944,0.07604562737642585,0.05847953216374269,0.10869565217391304,0.2037735849056604,0.1569767441860465,0.2903225806451613,0.010215210728347301,0.09672345221042633,0.05463486164808273,189,92
5,GPT 3.5 Turbo,Google,0.39603960396039606,0.3669724770642202,0.43010752688172044,0.11000000000000001,0.10185185185185185,0.11956521739130435,0.26732673267326734,0.24770642201834864,0.2903225806451613,0.12676206231117249,0.1282038539648056,0.12890058755874634,120,92
5,GPT 3.5 Turbo,Kaldi_NL,0.30996309963099633,0.23595505617977527,0.45161290322580644,0.08921933085501858,0.06779661016949153,0.13043478260869565,0.22140221402214022,0.16853932584269662,0.3225806451612903,0.020572273060679436,0.1314687281847,0.07691196352243423,193,92
5,Gemini 1.5 pro,Whisper,0.3728813559322034,0.3076923076923077,0.4731182795698925,0.1111111111111111,0.09154929577464789,0.14130434782608695,0.22033898305084745,0.18181818181818182,0.27956989247311825,0.03373562917113304,0.08458857983350754,0.060563039034605026,159,92
5,Gemini 1.5 pro,Speechmatics,0.3964757709251102,0.3358208955223881,0.4838709677419355,0.12444444444444444,0.10526315789473684,0.15217391304347827,0.2290748898678414,0.19402985074626866,0.27956989247311825,0.05124726518988609,0.11221905797719955,0.08304144442081451,149,92
