AI,ASR,ROUGE-1-F_mean,ROUGE-1-F_std,ROUGE-1-P_mean,ROUGE-1-P_std,ROUGE-1-R_mean,ROUGE-1-R_std,ROUGE-2-F_mean,ROUGE-2-F_std,ROUGE-2-P_mean,ROUGE-2-P_std,ROUGE-2-R_mean,ROUGE-2-R_std,ROUGE-L-F_mean,ROUGE-L-F_std,ROUGE-L-P_mean,ROUGE-L-P_std,ROUGE-L-R_mean,ROUGE-L-R_std,BERT-Score-P_mean,BERT-Score-P_std,BERT-Score-R_mean,BERT-Score-R_std,BERT-Score-F1_mean,BERT-Score-F1_std,AI_Word_Count_mean,AI_Word_Count_std,Ref_Word_Count_mean,Ref_Word_Count_std
GPT 3.5 Turbo,Google,0.3551147300298708,0.0864271417996744,0.3113337278474747,0.10972773588829345,0.43045051427467723,0.05638382119212282,0.10513168152350036,0.05261255974443588,0.09386787633652914,0.056222817942138695,0.1243901498351064,0.04940013746489709,0.23227459717026616,0.05430783977486368,0.20292331785338474,0.06671241293688947,0.2825639204025909,0.043586886544411944,0.08486279640346765,0.07910975580698788,0.13425707146525384,0.03542393147952242,0.11068004220724106,0.051085017161570274,167.0,28.256759270030322,104.8,27.25924919484516
GPT 3.5 Turbo,Kaldi_NL,0.33996021007710175,0.06374383877005381,0.28734325236315117,0.07739250031399007,0.42777203052377233,0.043549446029525575,0.09146526357219412,0.03355020790900552,0.07763384160477808,0.033077297187737165,0.11442031793099697,0.03601274798688623,0.2186897513093134,0.041932197298325355,0.18466275461168555,0.04994058389946695,0.2756761482002802,0.034506182685741064,0.07758041169727221,0.05906825460824625,0.1260392066091299,0.04133115839731323,0.10294098984450102,0.03754093373556951,174.1,18.27840255602223,104.8,27.25924919484516
GPT 3.5 Turbo,Speechmatics,0.3472010579235044,0.06481787654078998,0.3050258553461253,0.08438022716615164,0.4231672752675606,0.06154103978921831,0.09334714729547927,0.03790684364893653,0.0828026937449183,0.037550009132285546,0.11181721819633765,0.041710101629818155,0.22453450169182929,0.0510264365630114,0.19820615444326242,0.0630201003042196,0.2717624259567301,0.0449993822741565,0.08302687490358948,0.07353682342048659,0.12373221479356289,0.05100793736855042,0.10447071272647009,0.04926760280875908,163.2,25.231373768033762,104.8,27.25924919484516
GPT 3.5 Turbo,Whisper,0.3514116065614675,0.06351124724665114,0.29915177851143826,0.08215665945508185,0.43912827853296016,0.040576300290872995,0.09771761256094134,0.03825890760774952,0.0842718599088554,0.040479184719580286,0.11995763874789875,0.034382751352844056,0.23193390434006345,0.04124511671826743,0.19681951123876162,0.05018850180276056,0.2911462363823715,0.0421055165461526,0.08174651514273137,0.07781969705987736,0.13027721419930458,0.02896878835295324,0.1071167778223753,0.046489603231596184,174.3,29.77713515061141,104.8,27.25924919484516
Gemini 1.5 pro,Google,0.35425301115888685,0.05883296661005278,0.29975621957070947,0.06917926557862324,0.4502078245773148,0.06499838770668434,0.10270267951705474,0.0305228323279484,0.08734307688690361,0.030110027483241868,0.12941578118394612,0.03369496969227379,0.2291853868362254,0.03296147778527817,0.19445694188269186,0.045760982566564995,0.2908958112899652,0.03295029523089069,0.03922524694353342,0.054200195021230704,0.14516473114490508,0.046867245206312066,0.09290787000209093,0.0375508898848831,171.4,17.582819897717076,104.8,27.25924919484516
Gemini 1.5 pro,Kaldi_NL,0.36490424049798614,0.05532371621041072,0.3178696194096808,0.08280158762457503,0.45067832205423713,0.051490007299686266,0.10882192687554981,0.04515262027488035,0.0970107079291876,0.04876634271511577,0.12988098053192437,0.042036711621811725,0.22700862838599792,0.04198966632277469,0.1982157674398426,0.056066941699615354,0.27903859397797215,0.039349560098609494,0.059012304269708694,0.07001755342011755,0.1352682277560234,0.032074476016858686,0.09810779485851526,0.04255710209479867,164.8,29.18447075643712,104.8,27.25924919484516
Gemini 1.5 pro,Speechmatics,0.3640032351915765,0.05460113934174128,0.3081347297202147,0.07231023278624951,0.4660052016301092,0.06206863673454649,0.10709595244213543,0.03700062595713148,0.0916119239501941,0.0378524009788668,0.13519223000041128,0.040669801116002144,0.22992469598527068,0.037135714627347605,0.19506900432524457,0.04975266355825013,0.2939874062141624,0.043487661068945034,0.043016411177814004,0.06764055546887476,0.13736528605222703,0.03526972641271416,0.09098599888384343,0.03990257764022241,174.4,24.427671012831148,104.8,27.25924919484516
Gemini 1.5 pro,Whisper,0.34649230274483045,0.06279498498242618,0.28621215376166287,0.08549586039706392,0.4704095564862401,0.0641477392469478,0.10069977806822092,0.038767028114110605,0.08471244069465275,0.04156053409184168,0.13294713452130247,0.04103918755196633,0.21680166406485366,0.04181457108434024,0.17883150358415248,0.05322808157304375,0.2947777381280368,0.04909682625335888,0.03576331753283739,0.07534089586772409,0.13029564172029495,0.04214371410212258,0.08387098647654057,0.051062509225544776,192.5,34.154062715876144,104.8,27.25924919484516
