AI,ROUGE-1-F_mean,ROUGE-1-F_std,ROUGE-1-P_mean,ROUGE-1-P_std,ROUGE-1-R_mean,ROUGE-1-R_std,ROUGE-2-F_mean,ROUGE-2-F_std,ROUGE-2-P_mean,ROUGE-2-P_std,ROUGE-2-R_mean,ROUGE-2-R_std,ROUGE-L-F_mean,ROUGE-L-F_std,ROUGE-L-P_mean,ROUGE-L-P_std,ROUGE-L-R_mean,ROUGE-L-R_std,BERT-Score-P-Raw_mean,BERT-Score-P-Raw_std,BERT-Score-R-Raw_mean,BERT-Score-R-Raw_std,BERT-Score-F1-Raw_mean,BERT-Score-F1-Raw_std,BERT-Score-P_mean,BERT-Score-P_std,BERT-Score-R_mean,BERT-Score-R_std,BERT-Score-F1_mean,BERT-Score-F1_std,AI_Word_Count_mean,AI_Word_Count_std,Ref_Word_Count_mean,Ref_Word_Count_std
GPT 3.5 Turbo,0.3484219011479861,0.06778168213908764,0.3007136535170474,0.08626457698543162,0.4301295246497426,0.049597337706691114,0.09691542623802876,0.03995356558599738,0.08464406789877024,0.04148235181606915,0.11764633117758494,0.03951139057867542,0.22685818862786808,0.045961187701183966,0.1956529345367736,0.056097548750153936,0.2802871827354932,0.040561813303100026,0.8452893570065498,0.0117972381799654,0.8531599804759026,0.006514355419190381,0.849166814982891,0.00753876239287294,0.08180414953676518,0.07001570756925887,0.1285764267668128,0.03865950718011478,0.10630213065014686,0.04466772953223703,169.65,25.218582891925614,104.8,26.18983948610018
Gemini 1.5 pro,0.35741319739832,0.05622908847668647,0.30299318061556696,0.07562049611300994,0.4593252261869753,0.059235500982203815,0.10483008422574022,0.03686688572936121,0.09016953736523452,0.038852178265487626,0.13185903155939607,0.03802425578097599,0.22573009381808692,0.03752019942154421,0.19164330430798288,0.04991917722782108,0.28967488740253416,0.040514209793415,0.8389624297618866,0.010992482344482099,0.8545833572745323,0.0064620578315426076,0.8466632232069969,0.007038472825113428,0.04425431998097338,0.0652395429327174,0.13702347166836262,0.03834914752510797,0.09146816255524755,0.04170347608757448,175.775,27.97846012147972,104.8,26.18983948610018
