ASR,ROUGE-1-F_mean,ROUGE-1-F_std,ROUGE-1-P_mean,ROUGE-1-P_std,ROUGE-1-R_mean,ROUGE-1-R_std,ROUGE-2-F_mean,ROUGE-2-F_std,ROUGE-2-P_mean,ROUGE-2-P_std,ROUGE-2-R_mean,ROUGE-2-R_std,ROUGE-L-F_mean,ROUGE-L-F_std,ROUGE-L-P_mean,ROUGE-L-P_std,ROUGE-L-R_mean,ROUGE-L-R_std,BERT-Score-P-Raw_mean,BERT-Score-P-Raw_std,BERT-Score-R-Raw_mean,BERT-Score-R-Raw_std,BERT-Score-F1-Raw_mean,BERT-Score-F1-Raw_std,BERT-Score-P_mean,BERT-Score-P_std,BERT-Score-R_mean,BERT-Score-R_std,BERT-Score-F1_mean,BERT-Score-F1_std,AI_Word_Count_mean,AI_Word_Count_std,Ref_Word_Count_mean,Ref_Word_Count_std
Google,0.3546838705943788,0.0719584792543108,0.3055449737090921,0.08947322880175464,0.440329169425996,0.06008200002900295,0.10391718052027757,0.04188142590405087,0.09060547661171639,0.04402238434852579,0.12690296550952626,0.04123603810241845,0.23072999200324582,0.04375164382575248,0.1986901298680383,0.05584749897724835,0.286729865846278,0.03784799913973082,0.8419598907232284,0.011799535218570422,0.8550362050533294,0.006878221276670243,0.8484059512615204,0.007523640341316143,0.06204402167350054,0.0700293401072068,0.13971090130507946,0.040818873054072856,0.10179395610466599,0.0445781308847313,169.2,23.016241405169794,104.8,26.53220486007226
Kaldi_NL,0.3524322252875439,0.05948327419776531,0.30260643588641595,0.07956150007427469,0.4392251762890047,0.04787784174289483,0.10014359522387198,0.03972646534076931,0.08732227476698284,0.04175598833968625,0.12215064923146066,0.03891366199961116,0.22284918984765562,0.04106412816210232,0.19143926102576408,0.05214175800516313,0.27735737108912617,0.0360614321748333,0.843013373017311,0.010743612693969474,0.8535100162029267,0.006119585070700954,0.8481916815042496,0.006605120975831116,0.06829635798349046,0.0637625205338818,0.13065371718257665,0.036316738313307284,0.10052439235150815,0.03913583407681551,169.45,24.175836130971327,104.8,26.53220486007226
Speechmatics,0.3556021465575404,0.05896267313211078,0.30658029253317004,0.0764981795515374,0.4445862384488349,0.06404512261105032,0.10022154986880735,0.037133418247834706,0.0872073088475562,0.036973162169438606,0.12350472409837446,0.041849255537154614,0.22722959883854998,0.04352258804673528,0.1966375793842535,0.055284409963752015,0.2828749160854463,0.044553243351690565,0.8421246141195298,0.01209175380028531,0.8534923285245896,0.007287930196895315,0.8477197825908661,0.007456368134229747,0.06302164304070175,0.07176363553689794,0.13054875042289496,0.04325029518737969,0.09772835580515675,0.044179537438185264,168.8,24.843933920206343,104.8,26.53220486007226
Whisper,0.348951954653149,0.061521496346748715,0.29268196613655056,0.08187618990183892,0.4547689175096002,0.054649557764887335,0.09920869531458112,0.03751778867684744,0.08449215030175407,0.039929907049856495,0.12645238663460062,0.03744549129762458,0.22436778420245856,0.041161738462193925,0.18782550741145704,0.05118946824621872,0.29296198725520417,0.044554103639095156,0.8414056956768036,0.013174662540171942,0.8534481257200242,0.0059308776581892516,0.8473426610231399,0.008270010907429065,0.05875491633778438,0.07819061556220488,0.13028642795979978,0.035196853724897254,0.09549388214945793,0.049000430497481165,183.4,32.55343784901179,104.8,26.53220486007226
