AI,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
GPT 3.5 Turbo,0.2214208169349333,0.14148279235330535,0.523319916288445,0.039551768241104485,0.02530853241339806,0.09315706367706002,0.15835756025257552,0.10123094601792619,0.3740437650832026,-0.16309065893292427,0.1252920074010035,-0.02159769046702422,170.975,40.4
Gemini 1.5 pro,0.22342022278579296,0.14163608817363377,0.5558755389605115,0.04340242372432211,0.027616403563922275,0.10739840025432434,0.15180541908764397,0.09616700569002416,0.3785280666156945,-0.21103425472974777,0.12918619434349238,-0.04528481958332122,179.4,40.4
