AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
GPT 3.5 Turbo,Google,0.22935991872984923,0.14732781478871487,0.5304086983854883,0.04602426042883865,0.029768672017307478,0.10438023328815176,0.16203857077724987,0.10422231704514891,0.3733387488178991,-0.15001657269895077,0.1469378063455224,-0.0045317741227336224,167.0,40.4
GPT 3.5 Turbo,Kaldi_NL,0.2085989543226454,0.1317680984595315,0.5079822549916964,0.03783547006721551,0.02394309447069715,0.09150628760079009,0.15010605281543357,0.09478754700388713,0.3663627926004008,-0.17997752279043197,0.10523130170768127,-0.03995808680774644,175.2,40.4
GPT 3.5 Turbo,Speechmatics,0.2302596499482413,0.14865280035647815,0.5361058819689819,0.0380892733220242,0.024575512512061394,0.08908377670738538,0.16741663737634374,0.10829039003905347,0.3866617248013786,-0.1514506008476019,0.13275317512452603,-0.011915649101138116,167.4,40.4
GPT 3.5 Turbo,Whisper,0.21746474473899738,0.13818245580849692,0.5187828298076134,0.0362580691463396,0.022946850653526217,0.08765795711191282,0.15386898004127492,0.09762352998361523,0.36981179411313164,-0.17091793939471245,0.11624574642628431,-0.02998525183647871,174.3,40.4
Gemini 1.5 pro,Google,0.22764659691709466,0.144112784207918,0.5592157161917194,0.04267361803718609,0.027216329568916453,0.10264494898351573,0.15445142489615646,0.09790070039517906,0.37859389489523243,-0.2187867969274521,0.13384225815534592,-0.04731741668656468,174.8,40.4
Gemini 1.5 pro,Kaldi_NL,0.2274190625029743,0.14631224538339227,0.534707326731717,0.04002756420454525,0.025676903584964817,0.09453635571367117,0.15397986948984077,0.09893874602792299,0.36292488003345597,-0.19296736568212508,0.14276973269879817,-0.029309971258044243,166.9,40.4
Gemini 1.5 pro,Speechmatics,0.23133429289799196,0.1466398273485253,0.5741746466510432,0.04879489934337048,0.031183573480355636,0.11866541438079828,0.15338034962542413,0.09710240853387483,0.38155236867668024,-0.2087801903486252,0.13546620756387712,-0.041128995004692116,179.1,40.4
Gemini 1.5 pro,Whisper,0.20728093882511098,0.12947949575469947,0.5554044662675662,0.04211361331218662,0.02638880762145221,0.11374688193931218,0.14541003233915456,0.09072616780311978,0.3910411228574092,-0.22360266596078873,0.10466657895594836,-0.06338289538398385,196.8,40.4
