ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
Google,0.22850325782347194,0.14572029949831647,0.5448122072886038,0.04434893923301237,0.028492500793111962,0.10351259113583375,0.15824499783670315,0.10106150872016399,0.37596632185656575,-0.18440168481320143,0.14039003225043417,-0.025924595404649153,170.9,40.4
Kaldi_NL,0.21800900841280985,0.13904017192146187,0.5213447908617066,0.038931517135880375,0.024809999027830983,0.09302132165723062,0.15204296115263716,0.09686314651590507,0.36464383631692837,-0.18647244423627854,0.12400051720323972,-0.03463402903289534,171.05,40.4
Speechmatics,0.23079697142311661,0.14764631385250174,0.5551402643100125,0.04344208633269734,0.02787954299620852,0.10387459554409184,0.16039849350088392,0.10269639928646415,0.3841070467390294,-0.18011539559811354,0.13410969134420156,-0.026522322052915114,173.25,40.4
Whisper,0.21237284178205415,0.1338309757815982,0.5370936480375899,0.03918584122926311,0.024667829137489213,0.1007024195256125,0.14963950619021477,0.0941748488933675,0.38042645848527046,-0.19726030267775058,0.11045616269111633,-0.04668407361023128,185.55,40.4
